type,value,comment
hostname,u13448720.ct.sendgrid.net,
hostname,u19402039.ct.sendgrid.net,
hostname,u7747409.ct.sendgrid.net,
hostname,u8253848.ct.sendgrid.net,
hostname,u9810308.ct.sendgrid.net,
domain,acount-pro.club,
domain,acount-pro.live,
domain,anlysis-info.xyz,
domain,asia-studies.net,
domain,bignaver.com,
domain,carnegieinsider.com,
domain,change-pw.com,
domain,clonesec.us,
domain,cloudnaver.com,
domain,cloudocument.com,
domain,cloudsecurityservice.net,
domain,dailycloudservice.com,
domain,daumhelp.net,
domain,daum-protect.com,
domain,deioncube.biz,
domain,delivernaver.com,
domain,delivers-security.com,
domain,delivers-security.net,
domain,diplomatictraining.com,
domain,document-package.online,
domain,documentpackages.link,
domain,documentpackages.online,
domain,documentpackage.space,
domain,documentpackages.space,
domain,documentpackages.store,
domain,documentserver.site,
domain,down-error.com,
domain,download-apks.com,
domain,downloader-hanmail.net,
domain,download-live.com,
domain,emailnaver.com,
domain,globalcloudservices.org,
domain,gooapi.online,
domain,google-acount.com,
domain,goolg-e.com,
domain,goolge.space,
domain,govermentweb.site,
domain,help-master.online,
domain,helpnaver.host,
domain,helpnaver.link,
domain,helpnaver.online,
domain,help-naver.site,
domain,helpnaver.site,
domain,help-secure.info,
domain,hpronto-login.com,
domain,itamaraty.net,
domain,knowledgeofworld.org,
domain,lnfo-master.com,
domain,login-protect.club,
domain,login-protect.online,
domain,mail-master.online,
hostname,mail.summitz.com,
domain,microsoft-pro.host,
domain,microsoft-pro.live,
domain,microsoft-pro.site,
domain,microsoft-pro.space,
domain,midsecurity.org,
domain,mid-service.com,
domain,mid-service.org,
domain,myethrvvallet.com,
domain,mysoftazure.com,
domain,naverhelp.com,
domain,navermain.com,
domain,naversecurity.us,
domain,nicnaver.com,
domain,nidnaver.host,
domain,nidnaver.press,
domain,nidnaver.site,
domain,nidnaver.store,
domain,noreply-cc.online,
domain,noreply-goolge.com,
domain,noreply-sec.online,
domain,noreply-yahoo.com,
domain,oaass-torrent.com,
domain,proattachfile.com,
domain,pronto-login.info,
domain,pw-change.com,
domain,resetpolicy.com,
domain,resetprofile.com,
domain,rfa.news,
domain,rnaii.com,
domain,rnail-inbox.com,
domain,rnailm.com,
domain,rnail-suport.site,
domain,rneail.com,
domain,secureaction.ru,
domain,securelevel.site,
domain,security-acount.info,
domain,securitycounci1report.org,
domain,security-delivers.com,
domain,securityforcastreport.com,
domain,security-lnfo.com,
domain,security-nid.space,
domain,security-pro.me,
domain,security-pro.online,
domain,securitysettings.info,
domain,seoulhobi.biz,
domain,servicenaver.com,
domain,servicenidnaver.com,
domain,sinoforecast.com,
domain,softfilemanage.com,
domain,ssidnaver.com,
domain,stategov.biz,
domain,support-info.network,
domain,unosa.org,
domain,voakorea.news,
domain,voakoreas.com,
domain,voipgoogle.com,
domain,vpsino.org,
domain,webofknowledg.com,
domain,xfindphoneloc.com,
domain,xn--mcrosoft-online-hic.com,
hostname,0member-services.hol.es,
hostname,attachdown.000webhostapp.com,
hostname,attachdownload.000webhostapp.com,
hostname,attachdownload.99on.com,
hostname,dnsservice.esy.es,
hostname,emailru.99on.com,
hostname,firefox-plug.c1.biz,
hostname,koryogroup.1apps.com,
hostname,lookyes.c1.biz,
hostname,north-korea.medianewsonline.com,
hostname,online-manual.c1.biz,
hostname,romanovawillkillyou.c1.biz,
hostname,securitydownload.99on.com,
hostname,silverlog.hol.es,
hostname,softlay-ware.c1.biz,
hostname,takemetoyouheart.c1.biz,
hostname,taketodjnfnei898.c1.biz,
hostname,taketodjnfnei898.ueuo.com,
hostname,upsrv.16mb.com,
hostname,vscode-plug.c1.biz,
hostname,win10-ms.c1.biz,
hostname,1006ieudneu.atwebpages.com,
hostname,1995ieudneu.atwebpages.com,
ip-dst,222.118.183.131,
ip-dst,192.109.119.6,
ip-dst,108.177.235.226,
ip-dst,108.62.12.11,
ip-dst,212.114.52.227,
sha256,de1d1931f2e821209f1508e4b7306e7eef296a42f21fe9784e22cf4670acd296,YoreKey
sha256,347fdbd435f044fb1209125b22aaac5a9d826cfe5e5d543b190dc904cdd371c3,YoreKey
