Alias,Last Active,Status,Origin,Target Industries,Target Countries,Actor Type,Motivation
IntelBroker,Jun 2024,Active,Unknown,17,9,eCrime,Criminal
"PlayCrypt, PLAY",Jun 2024,Active,Unknown,31,35,eCrime,Criminal
"Royal, BlackSuit",Jun 2024,Active,Russian Federation,29,29,eCrime,Criminal
"LockBitSupp, LockBit",Jun 2024,Active,Russian Federation,44,103,eCrime,Criminal
Akira,Jun 2024,Active,Unknown,29,38,eCrime,Criminal
BianLian,Jun 2024,Active,Unknown,32,32,eCrime,Criminal
"INC, Nemty, Nemty X, Nefilim, GOLD MANSARD, Nokoyawa",Jun 2024,Active,"Russian Federation, Eastern Europe",22,19,eCrime,Criminal
nixploiter,Jun 2024,Active,Unknown,26,32,eCrime,Criminal
"hacking group Medusa, Medusa ransomware team, Medusa team",Jun 2024,Active,Unknown,27,39,eCrime,Criminal
"QBot, Quakbot, QakBot, PinkSlip, GOLD LAGOON, Qakbot",Jun 2024,Active,"Russian Federation, Eastern Europe",23,13,eCrime,Criminal
"Vice Society, DEV-0832, Vanilla Tempest, Rhysida",Jun 2024,Active,Unknown,25,41,eCrime,Criminal
--,Jun 2024,Active,Unknown,25,33,eCrime,Criminal
"BOSS, Lions, AcidLow, exp3rt, brain, RedTeam, bigrichy, FASTPRISONER, Birdy, 5MRBID, Signature, 5BIRD, 8BASE, EightBase, SawGoD, REDTEAMDR, bigboss, reverse5net, RADAR, Dispossessor, RAID",Jun 2024,Active,"Russian Federation, Eastern Europe",32,53,eCrime,Criminal
"FIN11, Clop",Jun 2024,Active,"Russian Federation, Eastern Europe",37,48,eCrime,Criminal
"05716nnm, Nnm05716, NoName, NoName057",Jun 2024,Active,Russian Federation,12,28,Targeted,Hacktivism
"Gamaredon, Trident Ursa, APT-C-53, UAC-0010, Blue Otso, WINTERFLOUNDER, TEMP.Armageddon, SpiceyHoney Campaign, IRON TILDEN, Operation Armageddon, ACTINIUM, UNC530, Shuckworm, Aqua Blizzard",Jun 2024,Active,Russian Federation,5,5,Targeted,State-Sponsored
"Lockean, UNC4393",Jun 2024,Active,Unknown,22,19,eCrime,Criminal
Storm-0216,Jun 2024,Active,Unknown,24,17,eCrime,Criminal
"LUCR-3, Octo Tempest, Roasted 0ktapus, Scatter Swine, UNC3944, Storm-0875",Jun 2024,Active,Unknown,21,14,eCrime,Criminal
--,Jun 2024,Active,Unknown,9,7,eCrime,Criminal
"FIN13, Elephant Beetle",Jun 2024,Active,Unknown,2,4,eCrime,Criminal
"Operation Layover, TA2541",Jun 2024,Active,Nigeria,3,0,eCrime,Criminal
"Taurus Loader TeamViewer Module, Taurus Loader Reconnaissance Module, Taurus Loader Ransomware Module, Golden Chickens, SKID, VenomKit, Taurus Loader, Taurus Loader Stealer Module",Jun 2024,Active,"Canada, Moldova",0,0,eCrime,Criminal
"Temp.Isotope, IRON LIBERTY, BROMINE, Ghost Blizzard, ALLANITE, DYMALLOY, Dragonfly 2.0",Jun 2024,Active,Russian Federation,23,41,Targeted,State-Sponsored
TA558,Jun 2024,Active,Brazil,4,8,eCrime,Criminal
Daixin Team,Jun 2024,Active,Unknown,5,4,eCrime,Criminal
"APT-C-36, Blind Eagle",Jun 2024,Active,Colombia,9,3,eCrime,Criminal
--,Jun 2024,Active,Unknown,3,29,eCrime,Criminal
--,Jun 2024,Active,Brazil,6,10,eCrime,Criminal
UNC961,Jun 2024,Active,Unknown,9,3,eCrime,Criminal
Retefe,Jun 2024,Active,"Russian Federation, Eastern Europe",3,31,eCrime,Criminal
"STRONTIUM, Tsar-Team, SNAKEMACKEREL, Tsar Team, Pawn Storm, Sofacy, TG-4127, Fighting Ursa, Forest Blizzard, APT28, Swallowtail, FROZENLAKE, Zebrocy, Sednit, Iron Twilight, UAC-0028, Sofacy Group",Jun 2024,Active,Russian Federation,13,31,Targeted,State-Sponsored
